CUST_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,AGE_BKT,SCR,HOLDING_PERIOD,ACC_TYPE,ACC_OP_DATE,LEN_OF_RLTN_IN_MNTH,NO_OF_L_CR_TXNS,NO_OF_L_DR_TXNS,TOT_NO_OF_L_TXNS,NO_OF_BR_CSH_WDL_DR_TXNS,NO_OF_ATM_DR_TXNS,NO_OF_NET_DR_TXNS,NO_OF_MOB_DR_TXNS,NO_OF_CHQ_DR_TXNS,FLG_HAS_CC,AMT_ATM_DR,AMT_BR_CSH_WDL_DR,AMT_CHQ_DR,AMT_NET_DR,AMT_MOB_DR,AMT_L_DR,FLG_HAS_ANY_CHGS,AMT_OTH_BK_ATM_USG_CHGS,AMT_MIN_BAL_NMC_CHGS,NO_OF_IW_CHQ_BNC_TXNS,NO_OF_OW_CHQ_BNC_TXNS,AVG_AMT_PER_ATM_TXN,AVG_AMT_PER_CSH_WDL_TXN,AVG_AMT_PER_CHQ_TXN,AVG_AMT_PER_NET_TXN,AVG_AMT_PER_MOB_TXN,FLG_HAS_NOMINEE,FLG_HAS_OLD_LOAN,random
C257,0,42,F,521685.69,PROF,41-45,493,26,SA,06/07/2001,192,5,2,7,1,1,0,0,0,1,18500,379310,0,0,0,397810,0,0,0,0,0,18500,379310,0,0,0,1,1,0.00040584
C5692,0,42,F,13158.14,SELF-EMP,41-45,105,15,SA,02/08/2010,88,18,14,32,6,2,4,1,1,1,35400,198430,51490,326421,170332,782073,0,0,0,0,0,17700,33071.67,51490,81605.25,170332,1,1,0.000522769
C3241,0,30,M,831150.18,PROF,26-30,170,13,SA,03/02/2008,111,14,8,22,3,1,0,0,4,0,18000,869880,32610,0,0,920490,0,0,0,0,0,18000,289960,8152.5,0,0,0,0,0.000570937
C1097,0,41,F,65208.82,SENP,41-45,472,21,SA,07/02/2008,107,6,3,9,2,0,1,0,0,1,0,476530,0,407286,0,883816,0,0,0,0,0,0,238265,0,407286,0,1,0,0.000784881
C19852,1,31,O,14411.51,PROF,31-35,618,1,CA,4/24/2005,145,17,22,39,4,2,7,1,8,0,41600,636680,378500,93147,25651,1175578,0,0,0,0,0,20800,159170,47312.5,13306.71,25651,1,1,0.001268502
C4948,0,27,F,2532663.66,SENP,26-30,171,13,SA,1/19/2010,88,4,3,7,0,0,0,0,3,0,0,0,94560,0,0,94560,0,0,0,0,0,0,0,31520,0,0,1,0,0.001309697
C7814,0,45,M,1097597.16,SENP,41-45,765,16,SA,10/16/2000,200,8,5,13,1,1,1,0,2,0,2500,358350,58740,116717,0,536307,0,0,0,0,0,2500,358350,29370,116717,0,1,1,0.00137796
C6619,0,31,M,22259.73,SENP,31-35,476,25,SA,11/07/2004,151,4,1,5,1,0,0,0,0,0,0,254670,0,0,0,254670,0,0,0,0,0,0,254670,0,0,0,0,0,0.001480213
C2029,0,54,M,3456.03,SAL,>50,483,10,SA,1/26/2010,88,13,7,20,3,1,1,0,2,0,3100,133190,19190,842341,0,997821,0,0,0,0,0,3100,44396.67,9595,842341,0,1,1,0.001620615
C2233,0,55,M,295709.23,SAL,>50,290,18,SA,1/19/2006,136,6,5,11,1,1,1,0,2,0,17900,774010,81670,340755,0,1214335,0,0,0,1,0,17900,774010,40835,340755,0,1,0,0.001757676
